,review_id,TF-IDFS
0,0,"{'recognition': 0.8178981573551274, 'timings': 0.728065407233013, 'flexible': 0.6125408771396887, 'career': 0.5810005438666006, 'growth': 0.4902126812929887, 'work': 0.06792987896674997}"
1,1,"{'engineering': 0.40313524077565166, 'border': 0.40313524077565166, 'implementation': 0.40313524077565166, 'delivering': 0.40313524077565166, 'cross': 0.36236187721330193, 'focussed': 0.36236187721330193, 'solving': 0.36236187721330193, 'global': 0.33851098850105693, 'problem': 0.30846242239717514, 'impact': 0.29773762493870726, 'teams': 0.2438381701225805, 'scale': 0.2438381701225805, 'high': 0.2161908978140078, 'tech': 0.20505901548232966, 'get': 0.1663498472029958, 'amazon': 0.12881529406317713, 'work': 0.0239752514000294}"
2,2,"{'everything': 0.9294512193142321, 'company': 0.5997379492331426, 'good': 0.36540314183584605}"
3,3,"{'pressurising': 1.1422165155310129, 'stress': 0.728065407233013, 'managers': 0.5810005438666006, 'culture': 0.2591636211063403, 'good': 0.12180104727861535, 'work': 0.06792987896674997}"
4,4,"{'career': 0.5810005438666006, 'people': 0.5496585052827774, 'benefits': 0.3797646857804492, 'culture': 0.2591636211063403, 'good': 0.12180104727861535, 'work': 0.06792987896674997}"
5,5,"{'feel': 0.8910807640775416, 'free': 0.7715133639264176, 'experience': 0.6838623777401864, 'great': 0.33096041238405055, 'work': 0.08151585476009998}"
6,6,"{'awesome': 1.954430057009819, 'benefits': 1.1392940573413477}"
7,7,"{'respect': 0.46737037563150136, 'corporation': 0.3263475758660037, 'whole': 0.3263475758660037, 'transparent': 0.3263475758660037, 'innovative': 0.3263475758660037, 'consistent': 0.2933405672679111, 'exciting': 0.2933405672679111, 'side': 0.2933405672679111, 'thinking': 0.27403270497704607, 'engaging': 0.27403270497704607, 'healthy': 0.2497076752739037, 'helps': 0.23368518781575068, 'understand': 0.2217178340880885, 'things': 0.1914326547204696, 'customer': 0.17703832748842516, 'job': 0.1506866494796258, 'culture': 0.14809349777505157, 'support': 0.1313787871887608, 'work': 0.01940853684764285}"
8,8,"{'promotion': 0.7010555634472521, 'freedom': 0.6651535022642655, 'development': 0.5921784131548383, 'skill': 0.48847312695727596, 'ot': 0.2915878196876658, 'good': 0.10440089766738458, 'work': 0.058225610542928546}"
9,9,"{'employer': 0.6844613236251258, 'reporting': 0.6844613236251258, 'amazing': 0.3729768368577331, 'manager': 0.3224505971782945, 'balance': 0.23720002465455373, 'life': 0.2352334049768425, 'good': 0.16240139637148712, 'work': 0.04528658597783331}"
